MEAT & POULTRY,SEAFOOD,LEGUMES,NUTS & SEEDS,VEGETABLES,FRUIT,SWEETS
(unprocessed; hormone- & antibiotic-free / organic preferred),(sustainable / wild-caught preferred),BEANS,NUTS & NUT BUTTER,(fresh / frozen; organic preferred),(whole — fresh / frozen; organic preferred),"Cacao / > 80% Dark
Chocolate (1 oz, 30g)"
"Beef, Lamb, Pork — ONLY grass-fed, lean; pasture-raised whenever possible); please consume sparingly; limit portion to 4-6 ounces ",FISH,"Soy — Edamame, Tofu, 
Tempeh, Miso, Natto",Peanuts,Higher-Starch,Lower-Sugar  (per 100g),
,High omega 3 ↑,,Almonds ,Beets — 1 cup,Acai (puree),"Dried fruit — Goji, fig, cranberries,
raisin, prunes (1.5 oz, 40g)
(sparingly please)"
,Salmon ,"Other — Adzuki, Black, 
Cannelini, Chickpea, Fava,
Kidney, Mung, Navy, Pinto",Brazil nuts - 1 per day ,Cassava ,Lemon ,
Chicken — skinless,Sardines ,,Cashews ,Corn ,Lime ,"Fresh 100% fruit juice
(120ml, 4 oz) 
(sparingly please)"
Turkey — skinless,Sea Trout ,Lentils ,Chestnut,Parsnip,"Berries raspberries, 
strawberries, blackberries, 
blueberries ",
Duck — skinless,Whitefish ,"Peas — Black-eyed, Green, Yellow",Hazelnut ,Potato ,,← Please emphasize WHOLE &  lower-sugar fruits
Liver ,Herring ,,Macadamia ,Sweet Potato — 1 cup,,
"EGGS, DAIRY & ALTERNATIVES",Anchovies ,Lima Beans,Pecan,Turnip,Grapefruit ,"HERBS, SPICES & AROMATICS"
(hormone- & antibiotic-free / organic preferred),Mackerel (higher mercury) ,PROTEIN POWDER ,Pine nut ,Yams — 1 cup,"Melon — Watermelon, 
Cantaloupe, Honeydew, 
Papaya",
EGG,"Arctic Char
(high omega 3, low mercury)",(minimally-sweetened / unsweetened),Pistachio,"Winter Squash  — Acorn,
Butternut, Pumpkin — 1 cup",,"Herbs (dry or fresh) — Rosemary, 
Oregano, Parsley, Cilantro,
Basil, Mint, Thyme, Dill, Sage"
Whole eggs,Medium Omega 3,"Collagen — Bovine, Marine ",Walnut,Lower-Starch,Cranberries ,
Egg whites ,Pollock ,Whey,SEEDS & SEED BUTER,Artichoke ,Nectarine ,
DAIRY  ,"Sea Bass 
(moderate mercury)",Egg white,Hemp  (⍵3),Asparagus ,Tart Cherries ,Garlic 
Cow’s Products,Halibut ,"Plant — Soy / Bean, 
Pea, Nut, Seed, Grain",Chia  (⍵3),Bamboo shoots ,Orange,Onion 
Milk — plain ,"Rainbow trout
 (moderate mercury)",,Flaxseed (⍵3),Bell Peppers ,Guava ,Scallions 
Yogurt — plain,Tuna (moderate mercury),,Pumpkin ,Broccoli / Broccolini ,Apricot ,Shallots 
Kefir  — plain,Shark (higher mercury) *,GRAINS,Sunflower ,Brussels Sprouts ,Peach ,Chives
Cheese ,Swordfish (high mercury) *,(100% whole / unrefined; sprouted when possible),Sesame / Tahini,Cabbage ,Plum,Ginger 
Cottage Cheese,Lower Omega 3 ↓,,,Carrot ,Asian pear,Turmeric 
Goat’s/Sheep’s Products,Cod ,,,Cauliflower ,Please focus on lower-sugar fruits (above ↑) and consume higher sugar fruits (below ↓) sparingly; serving size =  1 cup (berries/melon) or one small fruit,Black pepper
Milk ,,Gluten Free,FATS & OILS,Celery ,,Ceylon Cinnamon 
Cheese  ,Sole,Amaranth ,"Coconut — Dried, Cream",Cucumber ,,Chili Pepper 
DAIRY ALTERNATIVES,Flounder,Buckwheat,Avocado,Daikon,,Cumin 
"Plant-Based Milk & Yogurt — plain, unsweetened",Haddock ,Corn,Olives ,Eggplant,,Cardamon
Almond,Yellowtail,Millet ,Avocado Oil — extra virgin,"Fermented - sauerkraut, kimchi",Higher Sugar (per 100g),Fennel seed
Cashew ,Snapper (moderate mercury),Oats —steel cut,Olive Oil — extra virgin,Green Beans ,Grapes ,Paprika
Coconut ,Mahi Mahi (moderate mercury),Quinoa,Coconut Oil — extra virgin,Jicama ,Apples ,Cloves
Hemp ,Grouper (high mercury) *,"Rice — Brown, Purple/Black, 
Red, Wild",Cream / Half & half — grass fed preferred ,"Dark Leaves — Arugula, 
Collard, Kale, Spinach, 
Watercress, Swiss Chard","Pear — Anjou, Bartlett, Bosc",Annatto Seeds
Flax ,Orange roughy (high mercury) *,,,,Tangerine / Mandarin,Coriander Seeds
Oat,"Roe (masago, tobiko, caviar)",Sorgum ,"Butter / Ghee — 
grass fed  preferred",Leek,Kiwi ,Nutmeg 
Macadamia ,"* while these fish offer healthful oils and/or high-quality protein, they are higher in mercury, please consume  sparingly",Teff ,,Lettuce,Pineapple ,Capers
Soy ,,Gluten-Containing,,"Mushrooms - shiitake, maitake",Sweet Cherries,BEVERAGES
Rice ,,Barley ,,Okra ,Mango ,Water — Sparkling / Still 
Plant-Based Cheese,SHELLFISH,Farro,,Pea Pod (Snap Peas),Mangosteen,Coffee — Caffeinated
Coconut,Oysters (⍵3),Rye,,Radish ,Pomegranate,
Soy ,Clams ,Triticale ,,Seaweed,Fig ,Coffee — Decaffeinated
"Nut (Cashew, Almond, Macadamia)",Mussels,"Wheat — Wheat bran, 
Wheat berries, Kanut, Spelt",,Tomato,Banana,Green tea / Matcha *
OTHER,Shrimp ,,,"Summer squash
zucchini, yellow squash",Persimmon,Black / White / Pu'erh tea *
Yeast / Brewer’s Yeast,Lobster,** please moderate total amount of carbohydrate at each meal; serving size = 1/2 - 1 cup cooked ,,Onion,Lychee,Herbal tea 
Nutritional Yeast,Crab,,,"Vegetables juices
tomato, carrot, beet",Jackfruit ,Mineral water
Gelatin,Scallops,,,,,"* while these beverages offer health benefits, they also contain caffeine; please consume early in the day and moderate portions"